"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","864","@smoke Mocking and Validating - Tropical Wine T-shirt","smoke-chromium","Sat Apr 25 04:26:12 UTC 2026","passed","Sat Apr 25 04:26:13 UTC 2026","","","",""
"","6026","Verify that the PIM (Personnel Information Management) module loads correctly","smoke-chromium","Sat Apr 25 04:25:54 UTC 2026","passed","Sat Apr 25 04:26:00 UTC 2026","@smoke Navigation to PIM","","",""
"","5806","should allow user to logout successfully","auth-chromium","Sat Apr 25 04:25:47 UTC 2026","passed","Sat Apr 25 04:25:52 UTC 2026","@auth Logout Flow","","",""
"","974","@smoke Verify page title","smoke-chromium","Sat Apr 25 04:25:54 UTC 2026","passed","Sat Apr 25 04:25:55 UTC 2026","","","",""
"","1566","@smoke product subtotal validation - Tropical Wine T-shirt","smoke-chromium","Sat Apr 25 04:26:09 UTC 2026","passed","Sat Apr 25 04:26:10 UTC 2026","","","",""
"","882","@smoke product cost validation","smoke-chromium","Sat Apr 25 04:26:14 UTC 2026","passed","Sat Apr 25 04:26:15 UTC 2026","","","",""
"","5652","Authenticate","setup-chromium","Sat Apr 25 04:26:02 UTC 2026","passed","Sat Apr 25 04:26:08 UTC 2026","","","",""
"","887","@smoke Mocking and Validating - Black T-shirt with white stripes","smoke-chromium","Sat Apr 25 04:26:13 UTC 2026","passed","Sat Apr 25 04:26:14 UTC 2026","","","",""
"","19676","should complete add → search → delete employee flow","regression-webkit","Sat Apr 25 04:25:59 UTC 2026","passed","Sat Apr 25 04:26:19 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","6190","Authenticate","setup-firefox","Sat Apr 25 04:25:27 UTC 2026","passed","Sat Apr 25 04:25:33 UTC 2026","","","",""
"","1198","@smoke find specific product","smoke-chromium","Sat Apr 25 04:25:54 UTC 2026","passed","Sat Apr 25 04:25:55 UTC 2026","","","",""
"","8703","Authenticate","setup-webkit","Sat Apr 25 04:25:27 UTC 2026","passed","Sat Apr 25 04:25:36 UTC 2026","","","",""
"","5557","should login successfully with valid credentials","auth-chromium","Sat Apr 25 04:25:38 UTC 2026","passed","Sat Apr 25 04:25:44 UTC 2026","@auth Login Smoke Suite","","",""
"","19105","should complete add → search → delete employee flow","regression-firefox","Sat Apr 25 04:26:15 UTC 2026","passed","Sat Apr 25 04:26:34 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","16644","should complete add → search → delete employee flow","regression-chromium","Sat Apr 25 04:25:42 UTC 2026","passed","Sat Apr 25 04:25:58 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","627","@smoke find specific product another way","smoke-chromium","Sat Apr 25 04:25:55 UTC 2026","passed","Sat Apr 25 04:25:56 UTC 2026","","","",""
"","1178","@smoke add to cart functionality","smoke-chromium","Sat Apr 25 04:25:54 UTC 2026","passed","Sat Apr 25 04:25:55 UTC 2026","","","",""
"","1365","@smoke product subtotal validation - Black T-shirt with white stripes","smoke-chromium","Sat Apr 25 04:26:11 UTC 2026","passed","Sat Apr 25 04:26:12 UTC 2026","","","",""
