"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","725","@smoke find specific product another way","smoke-chromium","Sun May 17 05:37:26 UTC 2026","passed","Sun May 17 05:37:27 UTC 2026","","","",""
"","6598","Authenticate","setup-chromium","Sun May 17 05:37:12 UTC 2026","passed","Sun May 17 05:37:19 UTC 2026","","","",""
"","11685","Authenticate","setup-webkit","Sun May 17 05:37:04 UTC 2026","passed","Sun May 17 05:37:16 UTC 2026","","","",""
"","14768","should complete employee lifecycle: create → delete → verify absence","regression-webkit","Sun May 17 05:37:35 UTC 2026","passed","Sun May 17 05:37:50 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","1057","@smoke Mocking and Validating - Tropical Wine T-shirt","smoke-chromium","Sun May 17 05:37:25 UTC 2026","passed","Sun May 17 05:37:26 UTC 2026","","","",""
"","1001","@smoke Verify page title","smoke-chromium","Sun May 17 05:37:16 UTC 2026","passed","Sun May 17 05:37:17 UTC 2026","","","",""
"","5129","Authenticate","setup-firefox","Sun May 17 05:37:04 UTC 2026","passed","Sun May 17 05:37:09 UTC 2026","","","",""
"","2825","@smoke product subtotal validation - Tropical Wine T-shirt","smoke-chromium","Sun May 17 05:37:20 UTC 2026","passed","Sun May 17 05:37:23 UTC 2026","","","",""
"","1228","@smoke find specific product","smoke-chromium","Sun May 17 05:37:25 UTC 2026","passed","Sun May 17 05:37:26 UTC 2026","","","",""
"","780","@smoke Mocking and Validating - Black T-shirt with white stripes","smoke-chromium","Sun May 17 05:37:26 UTC 2026","passed","Sun May 17 05:37:27 UTC 2026","","","",""
"","1257","@smoke add to cart functionality","smoke-chromium","Sun May 17 05:37:25 UTC 2026","passed","Sun May 17 05:37:26 UTC 2026","","","",""
"","9390","should logout user and invalidate session","auth-chromium","Sun May 17 05:37:15 UTC 2026","passed","Sun May 17 05:37:24 UTC 2026","@auth Logout Flow","","",""
"","4572","should login successfully with valid credentials","auth-chromium","Sun May 17 05:37:10 UTC 2026","passed","Sun May 17 05:37:14 UTC 2026","@auth Login Smoke Suite","","",""
"","708","@smoke product cost validation","smoke-chromium","Sun May 17 05:37:27 UTC 2026","passed","Sun May 17 05:37:27 UTC 2026","","","",""
"","16356","should complete employee lifecycle: create → delete → verify absence","regression-chromium","Sun May 17 05:37:18 UTC 2026","passed","Sun May 17 05:37:34 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","9345","Verify that the PIM (Personnel Information Management) module loads correctly","smoke-chromium","Sun May 17 05:37:16 UTC 2026","passed","Sun May 17 05:37:26 UTC 2026","@smoke Navigation to PIM","","",""
"","17359","should complete employee lifecycle: create → delete → verify absence","regression-firefox","Sun May 17 05:37:18 UTC 2026","passed","Sun May 17 05:37:35 UTC 2026","@regression PIM Employee Lifecycle","","",""
"","1482","@smoke product subtotal validation - Black T-shirt with white stripes","smoke-chromium","Sun May 17 05:37:23 UTC 2026","passed","Sun May 17 05:37:25 UTC 2026","","","",""
